date,no_Frygt/Bekymret,novelty,transience,resonance,nsigma,tsigma,rsigma
2020-06-16,"[0.08673446932057713, 0.1151172416688299, 0.2814669205594485, 0.1380910038174213, 0.07396214139610428, 0.26822309390249344, 0.03640512933512556]",0.0013452130773300717,0.0004168882592549077,0.0009283248180751639,0.0007412927548184974,0.0003667139637900014,0.0005540033593042494
2020-06-17,"[0.09079325459744372, 0.11651015174044513, 0.28517538880223725, 0.13888839513449067, 0.07043043708222067, 0.2604017960658667, 0.03780057657729581]",0.0007315844943657329,0.0009222180646933031,-0.00019063357032757017,0.0007596409648370216,0.0006941575581700808,0.0007268992615035513
2020-06-18,"[0.09376165529421283, 0.11586619308875966, 0.2865023369800561, 0.12808373444899426, 0.07768589593769007, 0.26033287497927576, 0.0377673092710115]",0.0003911333094288776,0.000865338361695257,-0.0004742050522663794,0.0002391935014041561,0.0004034901959589474,0.00032134184868155174
2020-06-19,"[0.09550701164792413, 0.13458788653191286, 0.2844960466700098, 0.12378236689298579, 0.07423519958917768, 0.2476069907171946, 0.03978449795079515]",0.0007022822814495548,0.0011315114926975223,-0.0004292292112479675,0.0001806283896995452,0.0005273490388902865,0.0003539887142949158
2020-06-20,"[0.09850206354502104, 0.12216343202835692, 0.24279842142031619, 0.12385736993092024, 0.08482137755224299, 0.28594328615166825, 0.04191404937147436]",0.001718298660532,0.0007725784633154563,0.0009457201972165437,0.0002078328309571851,0.00023850208301274512,0.00022316745698496511
2020-06-21,"[0.09741564324495212, 0.12230094276870805, 0.25840669929881943, 0.13406823390897254, 0.0737557112833423, 0.2688250441065849, 0.04522772538862058]",0.0007130740088501205,0.0009855832799265233,-0.00027250927107640285,0.0001210712323960896,0.000500601376551834,0.0003108363044739618
2020-06-22,"[0.09257100218736741, 0.12353134374163188, 0.2743353742745131, 0.12856191573670955, 0.06863254935116124, 0.2755257113457274, 0.03684210336288937]",0.0007416741256453139,0.000967611987442714,-0.0002259378617974001,0.000271263326051266,0.0005370568855783203,0.0004041601058147931
2020-06-23,"[0.10248633850011096, 0.11347093044382077, 0.2641957006502999, 0.12312340265670094, 0.07820745022576228, 0.2850002181794409, 0.0335159593438643]",0.0006695838714010031,0.0006062560799393225,6.332779146168055e-05,0.00012184859314897676,0.0003096062221315075,0.00021572740764024212
2020-06-24,"[0.1274399524102511, 0.1129407511672985, 0.2694441342255552, 0.11707078786663197, 0.07161358015318317, 0.26434737877881603, 0.03714341539826409]",0.0014761415879601238,0.0011266426427215882,0.0003494989452385356,0.00030741763804402006,0.0005435217985722666,0.00042546971830814337
2020-06-25,"[0.09530533641807244, 0.10519728214093636, 0.26442435985167895, 0.13034321856075143, 0.0703839764889335, 0.2968367173322592, 0.037509109207368024]",0.0009804615067629167,0.0012818572804417759,-0.00030139577367885913,0.0006529313794491472,0.0006529669638558342,0.0006529491716524907
2020-06-26,"[0.10458872800864144, 0.11990653020184923, 0.2715187407681216, 0.12818154090140915, 0.07130259779261766, 0.2675052359250626, 0.036996626402298276]",0.0006232717177991927,0.0006010513898063616,2.2220327992831124e-05,0.00018521138845354598,0.0002807835086693562,0.0002329974485614511
2020-06-27,"[0.12275083490263647, 0.12237447321091881, 0.2452587201666028, 0.12709237378964355, 0.07714445105770668, 0.2606771778961632, 0.04470196897632851]",0.001301533572433326,0.0013661808668540183,-6.46472944206924e-05,0.0006439746890216817,0.0005105395255237841,0.0005772571072727329
