date,no_negative,novelty,transience,resonance,nsigma,tsigma,rsigma
2021-01-23,"[0.4708020233986429, 0.5291979766013573]",1.444205778373724e-05,6.555839512318872e-05,-5.111633733945148e-05,1.3082130793286847e-05,2.9222212221034073e-05,2.115217150716046e-05
2021-01-24,"[0.4842180853986893, 0.5157819146013107]",6.311980039126514e-05,0.00018512741872492525,-0.00012200761833366011,3.4165751107392234e-05,0.0001404271261376749,8.729643862253356e-05
2021-01-25,"[0.46381656003724825, 0.5361834399627518]",8.697920847508952e-05,7.253963678675059e-05,1.4439571688338936e-05,8.607220456565798e-05,6.577817462646748e-05,7.592518959606273e-05
2021-01-26,"[0.4580290999194943, 0.5419709000805057]",0.00014765361229377824,0.0002604582975655999,-0.00011280468527182167,0.00014144459174637416,0.0001200813664906064,0.00013076297911849028
2021-01-27,"[0.48195053618415234, 0.5180494638158477]",0.00015155615756478526,8.68331033572687e-05,6.472305420751656e-05,0.00011657326947850392,8.527255483531104e-05,0.00010092291215690748
2021-01-28,"[0.4722672282318245, 0.5277327717681755]",6.156560120179173e-05,0.00027994387651677984,-0.00021837827531498812,2.8852779188477514e-05,0.00014513123913300328,8.69920091607404e-05
2021-01-29,"[0.4859952707584526, 0.5140047292415473]",0.00016497327249734143,7.261000209194555e-05,9.236327040539588e-05,0.00016457583301740647,4.303467457644874e-05,0.0001038052537969276
2021-01-30,"[0.5022119737834978, 0.49778802621650226]",0.00026184888806144786,0.00045939373607454165,-0.0001975448480130938,0.0001355189241515067,0.0004496304218476375,0.0002925746729995721
2021-01-31,"[0.49661530745966254, 0.5033846925403376]",0.00012293446367697878,0.0005250911231274767,-0.000402156659450498,0.00012401375094173465,0.00027312437430294115,0.0001985690626223379
2021-02-01,"[0.47826662055398506, 0.5217333794460148]",0.00016172805157526013,0.00014660945706541453,1.5118594509845595e-05,0.00010499579271681498,7.753030509787085e-05,9.126304890734292e-05
2021-02-02,"[0.4558780586835509, 0.5441219413164491]",0.0007197671544870044,8.0154537854605e-05,0.0006396126166323995,0.0003455926356664993,5.6794892162998174e-05,0.00020119376391474874
2021-02-03,"[0.4627364549267639, 0.5372635450732361]",0.00023988134426729894,0.00021434743713017804,2.55339071371209e-05,0.00024023836194216386,0.00025649658413236487,0.00024836747303726435
2021-02-04,"[0.4667022320370518, 0.5332977679629483]",4.4637011359240445e-05,0.00017127816985818573,-0.0001266411584989453,2.6186349731579783e-05,0.00019642156735663052,0.00011130395854410515
2021-02-05,"[0.4736014082821016, 0.5263985917178985]",8.033387348785517e-05,0.00015101129824444503,-7.067742475658986e-05,5.668473471194401e-05,0.0001101848162822823,8.343477549711315e-05
2021-02-06,"[0.4966425881658074, 0.5033574118341927]",0.00043015471028637516,0.0005134992629017753,-8.334455261540012e-05,0.00012731593076888799,0.00028231459991850374,0.00020481526534369586
2021-02-07,"[0.4757499157420521, 0.5242500842579478]",8.727171603669715e-05,0.00010801472548855945,-2.0743009451862295e-05,9.408565374321522e-05,8.596974560618499e-05,9.00276996747001e-05
2021-02-08,"[0.45441584938807555, 0.5455841506119243]",0.00043589188385053344,0.0002269016197897392,0.00020899026406079424,0.0003243926559446899,0.00021019614776616056,0.00026729440185542524
