,change_point,resonance,novelty,transience,happiness,trust,expectation,surprised,anger,contempt,grief,fear,date,epidemiological,other,policy,danish,international,new_cases,new_cases_MA7,n_all_tweets,n_keyword_tweets,proportion_keyword_tweets
72,0,-0.0007830390643077928,0.00025800461028038313,0.001041043674588176,8256448163987612.0,1.1685311900899572e+16,3.0674830408494324e+16,1.0845177702403774e+16,6883472201740155.0,2.4378565108391092e+16,3.3433048222975964e+16,3908704468367497.0,2019-03-14,0,0,0,0,0,,,27124,187,0.006894263382981861
73,0,6.348593641293402e-05,0.0007521484352685168,0.0006886624988555828,8000721330781686.0,1.1037733696452228e+16,2859130722802885.0,1.0943165758869424e+16,7331804799057853.0,2613874576770204.0,3328190784631238.0,4603400559399381.0,2019-03-15,0,0,0,0,0,,,27172,236,0.008685411452966288
74,0,0.0005884208277022918,0.0012004798551155296,0.0006120590274132378,9482429042254906.0,1.1085164051355204e+16,2.6460278419991144e+16,1.1576545821240592e+16,7478459343794579.0,2582787151360126.0,3820232180628658.0,4247803630281863.0,2019-03-16,0,0,0,0,0,,,20329,142,0.0069850951842195886
75,0,-0.00010736375891731927,0.0008788651744098463,0.0009862289333271656,9187502894635276.0,1.2145661906599768e+16,2702573137784639.0,1.1039749131609416e+16,725281744500193.0,2.4855453492859896e+16,4481401003473561.0,3988722500964879.0,2019-03-17,0,0,0,0,0,,,25910,200,0.00771902740254728
76,0,0.0004558710512309338,0.0006653389857453728,0.00020946793451443908,8197230452674897.0,1.1095526748971192e+16,2984177366255144.0,1.1237012345679012e+16,6965930041152263.0,2.4683720164609056e+16,3720711934156378.0,4235308641975308.0,2019-03-18,0,0,0,0,0,,,24300,383,0.015761316872427985
77,0,0.0002981369015513155,0.0005572653913469139,0.0002591284897955984,8296318385135908.0,1.0793332568719652e+16,2.8935114883205264e+16,1.1861299078640516e+16,744085713193409.0,2.499911304813243e+16,3.4257942424589976e+16,4.22445999158925e+16,2019-03-19,0,0,0,0,0,,,26157,352,0.013457200749321406
78,0,-0.00012381465901184193,0.0005696762705738606,0.0006934909295857023,8481440219585049.0,1.1598978768063288e+16,302030798417696.0,1.1388600952611606e+16,7150754823605392.0,2.398846774844595e+16,3.123839509162832e+16,404164446597239.0,2019-03-20,0,0,0,0,0,,,24774,170,0.006862032776297732
79,0,-0.0009529762315733203,0.00023472268390415123,0.0011876989154774714,824041218980614.0,1.1241081329101822e+16,3066030283332696.0,1.1495029250946352e+16,6644488204030129.0,2.4665950368982524e+16,3046709746491798.0,3983397698160822.0,2019-03-21,0,0,0,0,0,,,26153,194,0.007417887049286888
80,0,-0.00033464883715139605,0.0002095251663757864,0.0005441740035271825,8820527365909.0,1.1257744219709712e+16,2901419741011697.0,1.1737784124251788e+16,7044430969054419.0,2473895387504401.0,3.509268025507609e+16,3.853002621180705e+16,2019-03-22,0,0,0,0,0,,,25561,201,0.00786354211494073
81,0,0.0003732457583017807,0.0014957841032095,0.0011225383449077193,9353144763706986.0,1.0600911309197748e+16,2.6139455206414016e+16,1.2264364324485832e+16,7407843234898659.0,2.6745157113689556e+16,3.973303122354464e+16,3.4940441213086996e+16,2019-03-23,0,0,0,0,0,,,20081,118,0.0058762013843932075
82,0,-0.00023320854702879278,0.0007871770752935794,0.0010203856223223722,9298242382781664.0,1.1667010472030732e+16,2670085249697416.0,1098268694416671.0,7674919749513233.0,2583516813134768.0,3.867205178129769e+16,3951618165552807.0,2019-03-24,0,0,0,0,0,,,19003,139,0.0073146345313897815
83,0,0.0006759386838068964,0.0010224163485304243,0.0003464776647235279,8440253253297113.0,1067017044209788.0,3.0607847346974536e+16,109343907461771.0,6928072558384085.0,2.5005117644481444e+16,3293655522937388.0,4096468474784209.0,2019-03-25,0,0,0,0,0,,,22823,181,0.007930596328265347
84,0,0.0006330094719216128,0.0009144444886821011,0.0002814350167604884,822029252956052.0,1.1772872667623536e+16,2.9278446449319936e+16,1.1116813614927208e+16,672956735698175.0,2.474960358143667e+16,4408454651083316.0,3699641172852163.0,2019-03-26,0,0,0,0,0,,,29262,144,0.004921058027475908
85,0,-0.0001729146694930225,0.0005388960266206883,0.0007118106961137107,8177582504970178.0,1.1374135188866796e+16,3.070412723658051e+16,1.1042858846918488e+16,6859045725646123.0,2.440294632206759e+16,3562397614314115.0,3852616302186878.0,2019-03-27,0,0,0,0,0,,,25150,195,0.007753479125248509
86,0,-0.0009288472809279726,0.0001988752466912443,0.001127722527619217,8150941740116299.0,1.1405610211022928e+16,301570822513989.0,1.0443085981786928e+16,6870098379841275.0,2.5389174560216504e+16,3753856562922868.0,3804922649306952.0,2019-03-28,0,0,0,0,0,,,27343,189,0.006912189591485938
87,0,-0.0007628318110705077,0.00018277491701506303,0.0009456067280855707,8867083932667262.0,1.166488745480698e+16,2.961001049644287e+16,1.0920872371029816e+16,6940846713058352.0,2.4437911596625584e+16,3710554756443649.0,3824499475177856.0,2019-03-29,0,0,0,0,0,,,25723,175,0.006803250009718928
88,0,-4.010703285629294e-05,0.001515121938296092,0.001555228971152385,9964369459536744.0,1.1847068916213896e+16,2631208655037651.0,1.1136507482604136e+16,7364050138213707.0,2.6069235535220664e+16,4239224096844914.0,3044342769993327.0,2019-03-30,0,0,0,0,0,,,20982,129,0.006148126965970832
89,0,-0.0012979482385746205,0.0011517097795506275,0.0024496580181252482,9022787973127968.0,1.1820522693757168e+16,2.5284241356709812e+16,1.192737997706046e+16,7524766508274619.0,2695579632967393.0,3921907258725217.0,3519215959364247.0,2019-03-31,0,0,0,0,0,,,24412,94,0.003850565295756185
90,0,0.001155596522594927,0.0015152324619320278,0.00035963593933710096,9260218654187508.0,1.0581144101984832e+16,3.0549467484266576e+16,1.1500883492012264e+16,6611307890914958.0,2351595530095207.0,3.8450621268355656e+16,4113224140713249.0,2019-04-01,0,0,0,0,0,,,24788,152,0.006131999354526385
